,Age,Catagory,Size,Color,year,month,day
0,36.0,3.0,2.0,1.0,2019.0,9.0,14.0
1,30.0,0.0,0.0,1.0,2022.0,7.0,27.0
2,35.0,2.0,1.0,1.0,2022.0,4.0,14.0
3,16.0,1.0,1.0,3.0,2020.0,1.0,21.0
4,40.0,1.0,2.0,3.0,2020.0,7.0,12.0
5,41.0,2.0,1.0,1.0,2020.0,2.0,19.0
6,40.0,2.0,2.0,0.0,2021.0,5.0,4.0
7,22.0,3.0,1.0,3.0,2021.0,5.0,26.0
8,29.0,1.0,1.0,0.0,2019.0,2.0,2.0
9,40.0,0.0,1.0,0.0,2022.0,4.0,17.0
10,20.0,3.0,2.0,0.0,2021.0,2.0,25.0
11,21.0,2.0,1.0,1.0,2021.0,7.0,30.0
12,17.0,0.0,1.0,1.0,2018.0,7.0,13.0
13,38.0,3.0,1.0,1.0,2021.0,7.0,28.0
14,41.0,0.0,2.0,1.0,2018.0,1.0,6.0
15,38.0,0.0,0.0,3.0,2018.0,7.0,3.0
16,22.0,1.0,1.0,3.0,2020.0,3.0,27.0
17,41.0,3.0,0.0,0.0,2021.0,1.0,5.0
18,19.0,1.0,0.0,0.0,2021.0,6.0,27.0
19,36.0,3.0,2.0,1.0,2021.0,10.0,16.0
20,31.0,1.0,2.0,0.0,2022.0,11.0,2.0
21,17.0,1.0,0.0,0.0,2022.0,1.0,23.0
22,37.0,2.0,1.0,0.0,2020.0,8.0,30.0
23,31.0,3.0,2.0,0.0,2019.0,7.0,21.0
24,40.0,2.0,1.0,3.0,2022.0,9.0,3.0
25,39.0,2.0,0.0,2.0,2021.0,7.0,12.0
26,38.0,2.0,2.0,3.0,2019.0,1.0,24.0
27,33.0,3.0,1.0,2.0,2022.0,10.0,3.0
28,21.0,2.0,1.0,0.0,2020.0,9.0,11.0
29,28.0,1.0,1.0,1.0,2018.0,1.0,22.0
30,41.0,1.0,1.0,0.0,2022.0,9.0,9.0
31,36.0,2.0,2.0,3.0,2020.0,10.0,15.0
32,40.0,2.0,2.0,1.0,2021.0,2.0,20.0
33,26.0,0.0,0.0,2.0,2018.0,4.0,7.0
34,31.0,1.0,1.0,2.0,2021.0,6.0,12.0
35,27.0,0.0,1.0,0.0,2018.0,10.0,29.0
36,25.0,2.0,2.0,0.0,2018.0,6.0,28.0
37,25.0,0.0,1.0,0.0,2022.0,8.0,1.0
38,23.0,0.0,2.0,1.0,2019.0,10.0,11.0
39,36.0,0.0,1.0,1.0,2021.0,9.0,18.0
40,22.0,3.0,0.0,0.0,2022.0,4.0,22.0
41,19.0,2.0,1.0,0.0,2022.0,3.0,28.0
42,30.0,0.0,2.0,0.0,2021.0,9.0,17.0
43,22.0,2.0,1.0,0.0,2021.0,4.0,24.0
44,35.0,2.0,0.0,0.0,2020.0,2.0,8.0
45,20.0,3.0,1.0,0.0,2022.0,3.0,16.0
46,19.0,2.0,0.0,0.0,2018.0,6.0,3.0
47,27.0,2.0,0.0,0.0,2020.0,9.0,4.0
48,32.0,2.0,0.0,1.0,2022.0,1.0,25.0
49,28.0,1.0,2.0,0.0,2020.0,9.0,26.0
50,22.0,0.0,1.0,1.0,2020.0,9.0,8.0
51,36.0,0.0,1.0,3.0,2019.0,2.0,7.0
52,20.0,2.0,2.0,1.0,2021.0,5.0,30.0
53,24.0,3.0,1.0,2.0,2021.0,8.0,3.0
54,22.0,1.0,2.0,2.0,2019.0,8.0,16.0
55,28.0,3.0,1.0,3.0,2019.0,4.0,3.0
56,24.0,0.0,2.0,0.0,2018.0,8.0,12.0
57,22.0,1.0,1.0,0.0,2021.0,5.0,10.0
58,40.0,2.0,1.0,0.0,2022.0,10.0,21.0
59,23.0,3.0,2.0,0.0,2018.0,7.0,3.0
60,27.0,3.0,2.0,3.0,2018.0,6.0,27.0
61,24.0,3.0,1.0,3.0,2022.0,4.0,18.0
