,Age,Catagory,Size,Color
0,36,3,2,1
1,30,0,0,1
2,35,2,1,1
3,16,1,1,3
4,40,1,2,3
5,41,2,1,1
6,40,2,2,0
7,22,3,1,3
8,29,1,1,0
9,40,0,1,0
10,20,3,2,0
11,21,2,1,1
12,17,0,1,1
13,38,3,1,1
14,41,0,2,1
15,38,0,0,3
16,22,1,1,3
17,41,3,0,0
18,19,1,0,0
19,36,3,2,1
20,31,1,2,0
21,17,1,0,0
22,37,2,1,0
23,31,3,2,0
24,40,2,1,3
25,39,2,0,2
26,38,2,2,3
27,33,3,1,2
28,21,2,1,0
29,28,1,1,1
30,41,1,1,0
31,36,2,2,3
32,40,2,2,1
33,26,0,0,2
34,31,1,1,2
35,27,0,1,0
36,25,2,2,0
37,25,0,1,0
38,23,0,2,1
39,36,0,1,1
40,22,3,0,0
41,19,2,1,0
42,30,0,2,0
43,22,2,1,0
44,35,2,0,0
45,20,3,1,0
46,19,2,0,0
47,27,2,0,0
48,32,2,0,1
49,28,1,2,0
50,22,0,1,1
51,36,0,1,3
52,20,2,2,1
53,24,3,1,2
54,22,1,2,2
55,28,3,1,3
56,24,0,2,0
57,22,1,1,0
58,40,2,1,0
59,23,3,2,0
60,27,3,2,3
61,24,3,1,3
62,41,0,1,2
63,30,3,0,2
64,17,2,1,1
65,38,0,0,0
66,29,0,2,1
67,25,2,1,0
68,36,3,2,2
69,23,0,0,3
70,39,0,2,1
71,18,1,1,0
72,33,3,0,0
73,39,3,1,0
74,40,3,2,1
75,26,3,0,1
76,39,1,1,1
77,31,1,0,0
78,33,1,0,2
79,21,1,1,0
80,37,1,2,0
81,16,3,2,0
82,33,0,1,0
83,21,1,1,1
84,17,2,0,2
85,27,2,0,2
86,34,2,0,3
87,19,1,1,0
88,33,3,2,1
89,23,0,0,2
90,41,3,1,0
91,22,3,1,1
92,37,3,0,1
93,34,1,0,0
94,39,3,1,2
95,20,2,2,3
96,21,0,2,0
97,22,2,1,3
98,31,0,0,2
99,41,0,1,3
100,34,2,1,0
101,35,1,0,1
102,28,3,0,1
103,26,2,1,1
104,23,3,1,2
105,18,2,1,2
106,28,1,0,0
107,24,1,2,1
108,16,3,1,1
109,21,1,0,0
110,30,3,1,0
111,16,0,1,1
112,27,2,0,1
113,39,2,1,0
114,22,0,0,3
115,19,0,0,2
116,41,2,1,0
117,38,1,1,2
118,30,0,2,2
119,40,1,1,0
120,34,2,0,2
121,25,0,0,0
122,18,3,2,1
123,39,1,1,2
124,24,0,1,0
125,31,3,1,3
126,23,3,2,0
127,36,2,1,1
128,38,2,0,0
129,33,0,1,2
130,33,0,1,3
131,36,3,0,0
132,34,1,0,0
133,17,1,2,1
134,33,3,1,0
135,36,2,2,3
136,34,1,1,2
137,28,2,0,0
138,18,1,1,3
139,18,0,1,2
140,16,1,0,2
141,31,2,0,0
142,34,2,1,0
143,17,1,1,2
144,29,2,1,0
145,16,1,2,0
146,23,2,2,2
147,33,3,1,1
148,31,1,2,0
149,23,1,0,2
150,30,1,0,0
151,35,0,1,0
152,38,1,2,3
153,32,2,2,1
154,18,1,2,2
155,39,0,0,0
156,16,0,0,3
157,29,1,1,2
158,28,2,0,0
159,21,0,1,2
160,38,2,2,0
161,29,0,2,3
162,25,3,0,3
163,18,3,0,1
164,36,0,0,0
165,26,0,1,0
166,32,1,2,2
167,21,3,2,0
168,19,2,2,2
169,32,3,2,1
170,27,1,2,0
171,19,0,2,1
172,40,1,0,2
173,24,1,2,1
174,24,0,2,2
175,20,1,1,2
176,41,3,1,0
177,36,1,2,1
178,29,2,0,0
179,40,1,1,2
180,27,3,0,2
181,41,0,2,3
182,41,2,0,1
183,18,3,0,1
184,38,3,1,1
185,31,0,0,0
186,40,3,1,0
187,33,1,2,1
188,25,1,1,0
189,39,0,1,0
190,30,0,1,2
191,38,2,2,0
192,19,0,1,1
193,33,3,0,1
194,30,1,0,2
195,19,0,2,3
196,28,2,1,1
197,23,0,0,2
198,19,2,1,0
199,30,1,0,0
200,38,0,0,2
201,39,2,0,2
202,23,1,0,0
203,17,2,2,3
204,21,1,1,2
205,40,3,2,1
206,33,2,2,3
207,38,3,0,0
208,37,0,1,0
209,26,1,1,3
210,36,2,2,3
211,35,2,0,2
212,33,1,2,3
213,29,1,2,0
214,25,2,1,2
215,22,1,2,2
216,28,3,2,3
217,40,3,1,2
218,16,1,1,1
219,30,0,0,1
220,33,0,0,1
221,37,1,1,0
222,37,1,1,0
223,24,1,2,1
224,36,2,2,0
225,24,1,1,2
226,32,2,2,0
227,21,1,1,0
228,23,2,2,0
229,18,2,0,2
230,25,3,2,0
231,36,3,1,0
232,34,0,2,0
233,40,1,1,1
234,27,3,2,0
235,27,1,2,0
236,27,2,0,2
237,36,0,0,1
238,29,3,2,3
239,21,3,2,0
240,39,3,0,0
241,25,3,1,3
242,25,3,2,0
243,29,3,0,2
244,37,1,1,3
245,38,0,1,1
246,32,3,1,3
247,21,2,2,3
248,17,0,0,3
249,26,0,1,1
250,33,3,2,0
251,24,0,0,1
252,28,0,2,0
253,23,3,1,3
254,23,2,1,3
255,40,2,2,0
256,17,1,1,0
257,40,1,2,0
258,37,3,0,0
259,34,2,2,2
260,22,2,0,3
261,36,3,1,3
262,28,1,1,1
263,22,3,1,0
264,26,2,0,0
265,17,2,0,2
266,17,1,2,0
267,41,2,1,1
268,25,3,2,2
269,40,0,0,0
270,35,0,2,2
271,38,0,1,0
272,38,0,1,1
273,34,1,2,1
274,19,0,1,3
275,36,2,0,3
276,16,3,0,3
277,25,0,1,0
278,23,0,1,1
279,29,3,0,2
280,20,0,1,2
281,22,0,1,1
282,18,2,1,2
283,22,3,0,1
284,30,1,0,0
285,25,1,1,2
286,40,0,0,3
287,39,3,0,0
288,24,2,0,0
289,23,3,0,0
290,31,2,2,1
291,28,3,2,2
292,40,2,1,3
293,26,3,1,2
294,17,1,2,0
295,29,1,0,3
296,37,0,1,0
297,27,3,0,0
298,27,0,2,3
299,29,2,1,0
300,40,2,2,0
301,18,0,2,2
302,35,1,1,3
303,28,0,1,2
304,32,3,1,0
305,27,2,2,1
306,20,1,2,0
307,25,2,2,0
308,17,3,0,0
309,24,3,1,1
310,39,3,1,2
311,29,3,1,3
312,20,1,1,0
313,33,0,2,2
314,36,1,0,0
315,32,2,0,0
316,32,0,2,1
317,16,3,2,1
318,19,1,1,3
319,27,3,1,2
320,39,0,2,2
321,34,2,2,2
322,21,1,2,3
323,23,3,1,0
324,36,3,2,0
325,31,1,0,0
326,28,0,0,2
327,25,3,1,3
328,18,0,0,0
329,28,3,0,1
330,34,3,2,1
331,27,2,2,3
332,36,1,2,2
333,22,2,0,0
334,19,0,2,0
335,22,0,1,2
336,24,0,2,2
337,16,1,2,2
338,35,2,2,2
339,29,1,1,2
340,38,2,1,2
341,32,2,1,1
342,36,3,1,2
343,30,0,0,3
344,34,0,0,0
345,33,0,1,0
346,34,2,2,0
347,26,3,0,0
348,22,2,2,0
349,36,3,0,2
350,37,2,1,0
351,31,3,2,1
352,29,3,0,2
353,20,1,1,2
354,35,1,1,0
355,18,1,2,0
356,40,2,0,1
357,22,2,1,0
358,21,1,0,3
359,20,3,2,0
360,41,1,0,1
361,20,0,2,2
362,37,3,1,2
363,18,0,1,2
364,32,0,0,0
365,19,0,0,0
366,32,3,0,3
367,41,0,1,3
368,37,1,1,2
369,31,2,1,0
370,16,3,0,1
371,27,0,1,0
372,24,1,2,3
373,26,0,1,0
374,26,0,1,0
375,40,1,2,0
376,32,1,0,1
377,31,1,1,3
378,32,2,2,0
379,24,2,1,2
380,28,0,1,2
381,17,1,0,0
382,18,1,1,0
383,32,3,1,0
384,33,0,0,1
385,18,1,0,0
386,20,3,1,3
387,23,1,0,3
388,18,3,0,0
389,31,2,1,3
390,19,0,0,0
391,27,1,1,2
392,18,0,0,0
393,36,0,1,0
394,36,1,1,0
395,21,2,2,0
396,25,3,1,3
397,23,3,0,1
398,23,3,2,1
399,37,2,1,0
400,32,1,0,3
401,41,0,2,0
402,24,2,2,1
403,24,1,2,0
404,31,1,2,2
405,22,2,2,3
406,35,1,0,1
407,40,0,0,3
408,40,3,0,1
409,41,2,0,2
410,19,0,1,1
